url,summer,winter,fall,spring,belowten,tentothirty,thirtytofifty,fiftytoseventy,seventytoninety,aboveninety,casual,business,party,summer_avg,summer_num,winter_avg,winter_num,fall_avg,fall_num,spring_avg,spring_num,belowten_avg,belowten_num,tentothirty_avg,tentothirty_num,thirtytofifty_avg,thirtytofifty_num,fiftytoseventy_avg,fiftytoseventy_num,seventytoninety_avg,seventytoninety_num,aboveninety_avg,aboveninety_num,casual_avg,casual_num,business_avg,business_num,party_avg,party_num
https://s-media-cache-ak0.pinimg.com/236x/de/9a/0f/de9a0f4c448c317de8e494d2abc94d92.jpg,1,0,0,1,0,0,0,1,1,0,0,0,1,8.5,2,0,0,0,0,8,2,0,0,7.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.oznurfashion.com/wp-content/uploads/2016/01/cute-outfit-ideas-4.jpg,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,8.667,3,0,0,7,4,0,0,9.333,3,0,0,0,0,0,0,7,2,0,0
http://g.nordstromimage.com/imagegallery/store/product/large/14/_10250734.jpg,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,5.5,2,6.333,3,0,0,2.5,2,0,0,0,0,0,0,0,0,0,0,3,1,8,1
http://picture-cdn.wheretoget.it/96mxw1-l-610x610-dress-cute dress-prom dress-pink dress-pink-spring-spring fashion-spring dress-summer dress-summer outfits-cute outfits-outfits-nyc fashion-gorgeous-love pink-fashion-trendy-clothe.jpg,1,0,0,1,0,0,0,0,1,1,0,1,1,9.999,1,0,0,0,0,8.714,7,0,0,9.999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://s-media-cache-ak0.pinimg.com/564x/e7/13/31/e713312231b70d896cd3532e37dec137.jpg,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,9.999,4,9.999,1,0,0,0,0,8.333,3,0,0,7,1,0,0,0,0,0,0,0,0,0,0
http://www.prettydesigns.com/wp-content/uploads/2015/08/outfit-ideas-for-winter21.jpg,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,9.75,4,9.999,2,0,0,0,0,9.333,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2
http://phashion.us/wp-content/uploads/2013/04/121.jpg,1,0,0,1,0,0,0,0,1,0,0,0,1,5,1,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://celebmafia.com/wp-content/uploads/2014/12/taylor-swift-2014-victoria-s-secret-fashion-show-in-london-after-party_7.jpg,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4.5,2,0,0,7,3,0,0,0,0,8,1,0,0,0,0,0,0,0,0
https://s-media-cache-ak0.pinimg.com/236x/4c/8d/e0/4c8de07f88ab44bbeb838cf267bcacf9.jpg,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://binaryapi.ap.org/8edc635172174429b81b563d785bbf8b/preview.jpg,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1
http://i.huffpost.com/gadgets/slideshows/303994/slide_303994_2593425_free.jpg,1,0,0,0,0,0,0,0,0,1,0,0,1,8,1,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.howtodressforaparty.com/images/kelly16.jpg,1,0,0,1,0,0,0,0,1,0,0,0,1,7,3,0,0,0,0,7.667,3,0,0,9,2,0,0,0,0,6,1,0,0,0,0,0,0,8,1
http://www.kadinveblog.com/wp-content/uploads/2014/10/genc-kiz-trenckot-sokak-stili-kombinleri-2015.jpg,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,9.999,2,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,8,1
http://upload.weddbook.com/blogs/winter-wedding-dress-589-int.jpg,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,8.667,3,0,0,0,0,7.3,10,7.75,4,2,1,0,0,0,0,0,0,0,0,0,0,8,1
http://images.asos-media.com/inv/media/5/3/5/9/5799535/multi/image1xl.jpg,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,8.4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
https://s-media-cache-ak0.pinimg.com/236x/ba/7f/8f/ba7f8f63529645a614c9cd61afce2fe3.jpg,1,0,0,1,0,0,0,0,1,1,0,0,1,9.999,1,0,0,0,0,9.999,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://cutenfit.com/wp-content/uploads/2015/04/cute-casual-outfits-72.jpg,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,7,1,0,0,0,0,8.499,6,0,0,9,1,9,2,0,0,0,0,0,0,0,0
https://s-media-cache-ak0.pinimg.com/236x/ff/e9/f5/ffe9f57ef0286149f1f7cd7e1da6df30.jpg,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,8,1,0,0,0,0,7.667,3,5,1,0,0,0,0,0,0,0,0,9,1,0,0
https://s-media-cache-ak0.pinimg.com/236x/e6/cd/19/e6cd19df12a5642443cf58c617f88b26.jpg,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,9.999,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
